"","","","74","","JZ","","","Jbs","","Jump short if zero/equal (ZF=0)"
"","","","75","","JNZ","","","Jbs","","Jump short if not zero/not equal (ZF=1)"
"","","","76","","JBE","","","Jbs","","Jump short if below or equal/not above (CF=1 AND ZF=1)"
"","","","77","","JNBE","","","Jbs","","Jump short if not below or equal/above (CF=0 AND ZF=0)"
"","","","78","","JS","","","Jbs","","Jump short if sign (SF=1)"
"","","","79","","JNS","","","Jbs","","Jump short if not sign (SF=0)"
"","","","7A","","JP","","","Jbs","","Jump short if parity/parity even (PF=1)"
"","","","7B","","JNP","","","Jbs","","Jump short if not parity/parity odd"
"","","","7C","","JL","","","Jbs","","Jump short if less/not greater (SF!=OF)"
"","","","7D","","JNL","","","Jbs","","Jump short if not less/greater or equal (SF=OF)"
"","","","7E","","JLE","","","Jbs","","Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))"
"","","","7F","","JNLE","","","Jbs","","Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))"
"","","","80","","ADD","Eb","","Ib","","Add"
"","","","80","","OR","Eb","","Ib","","Logical Inclusive OR"
"","","","80","","ADC","Eb","","Ib","","Add with Carry"
"","","","80","","SBB","Eb","","Ib","","Integer Subtraction with Borrow"
"","","","80","","AND","Eb","","Ib","","Logical AND"
"","","","80","","SUB","Eb","","Ib","","Subtract"
"","","","80","","XOR","Eb","","Ib","","Logical Exclusive OR"
"","","","80","","CMP","","","Eb","Ib","Compare Two Operands"
"","","","81","","ADD","Evqp","","Ivds","","Add"
"","","","81","","OR","Evqp","","Ivds","","Logical Inclusive OR"
"","","","81","","ADC","Evqp","","Ivds","","Add with Carry"
"","","","81","","SBB","Evqp","","Ivds","","Integer Subtraction with Borrow"
"","","","81","","AND","Evqp","","Ivds","","Logical AND"
"","","","81","","SUB","Evqp","","Ivds","","Subtract"
"","","","81","","XOR","Evqp","","Ivds","","Logical Exclusive OR"
"","","","81","","CMP","","","Evqp","Ivds","Compare Two Operands"
"","","","82","","ADD","Eb","","Ib","","Add"
"","","","82","","OR","Eb","","Ib","","Logical Inclusive OR"
"","","","82","","ADC","Eb","","Ib","","Add with Carry"
"","","","82","","SBB","Eb","","Ib","","Integer Subtraction with Borrow"
"","","","82","","AND","Eb","","Ib","","Logical AND"
"","","","82","","SUB","Eb","","Ib","","Subtract"
"","","","82","","XOR","Eb","","Ib","","Logical Exclusive OR"
"","","","82","","CMP","","","Eb","Ib","Compare Two Operands"
"","","","83","","ADD","Evqp","","Ibs","","Add"
"","","","83","","OR","Evqp","","Ibs","","Logical Inclusive OR"
"","","","83","","ADC","Evqp","","Ibs","","Add with Carry"
"","","","83","","SBB","Evqp","","Ibs","","Integer Subtraction with Borrow"
"","","","83","","AND","Evqp","","Ibs","","Logical AND"
"","","","83","","SUB","Evqp","","Ibs","","Subtract"
"","","","83","","XOR","Evqp","","Ibs","","Logical Exclusive OR"
"","","","83","","CMP","","","Evqp","Ibs","Compare Two Operands"
"","","","84","","TEST","","","Eb","Gb","Logical Compare"
"","","","85","","TEST","","","Evqp","Gvqp","Logical Compare"
"","","","86","","XCHG","Gb","Eb","","","Exchange Register/Memory with Register"
"","","","87","","XCHG","Gvqp","Evqp","","","Exchange Register/Memory with Register"
"","","","88","","MOV","Eb","","Gb","","Move"
"","","","89","","MOV","Evqp","","Gvqp","","Move"
"","","","8A","","MOV","Gb","","Eb","","Move"
"","","","8B","","MOV","Gvqp","","Evqp","","Move"
"","","","8C","","MOV","Mw","","Sw","","Move"
"","","","8D","","LEA","Gvqp","","","","Load Effective Address"
"","","","8E","","MOV","Sw","","Ew","","Move"
"","","","8F","","POP","Ev","","","","Pop a Value from the Stack"
"","","","90","","XCHG","Zvqp","rAX","","","Exchange Register/Memory with Register"
"","","","90","","NOP","","","","","No Operation"
"","F3","","90","","NOP","","","","","No Operation"
"","F3","","90","","PAUSE","","","","","Spin Loop Hint"
"","","","98","","CBW","","","","","Convert Byte to Word"
"","","","98","","CWDE","","","","","Convert Word to Doubleword"
"","","","99","","CWD","","","","","Convert Word to Doubleword"
"","","","99","","CDQ","","","","","Convert Doubleword to Quadword"
"","","","9A","","CALLF","","","Ap","","Call Procedure"
"","","","9B","","FWAIT","","","","","Check pending unmasked floating-point exceptions"
"","","","9C","","PUSHF","","","","","Push FLAGS Register onto the Stack"
"","","","9C","","PUSHFD","","","","","Push eFLAGS Register onto the Stack"
"","","","9D","","POPF","","","","","Pop Stack into FLAGS Register"
